,TMQ,U850,V850,UBOT,VBOT,QREFHT,PS,PSL,T200,T500,PRECT,TS,TREFHT,Z1000,Z200,ZBOT,Label,LOCATION,YEAR,MONTH,DAY
1935,49.68785095,-6.740327835,-0.22960481,-7.504029751,-2.301240444,0.019843776,101345.5625,101347.6328,218.5545502,268.1508179,0.07271999999999999,302.3580933,301.7938843,119.5661316,12439.52441,66.69037628,0,3,2001,7,12
6494,32.43284617812729,11.94458171991776,7.362099686514156,3.2394139324255384,12.670374761411473,0.020694975779359803,97944.41547320585,100941.73036692053,220.56250671423527,266.0312265210077,0.19342692979475556,303.09816568697295,301.23393563172004,66.25300870003471,12387.744102868843,66.45425958721633,1,4,2006,10,24
1720,21.47865486,-5.751557827,1.967963457,-10.63355827,5.244116306,0.007956231,102631.2031,102631.2031,214.2360535,256.6029358,0.06696,292.0715942,289.3854065,219.8654785,12018.46777,63.40146255,0,0,2002,11,9
9120,27.54627609,0.887099206,3.154071331,0.529583693,-0.829195619,0.012604233,101903.6953,101903.6953,215.1299591,265.5653687,8.136000000000001e-05,295.7989807,294.0972595,163.2545624,12283.79785,64.7250824,2,2,2008,7,2
360,15.84966469,11.80703163,6.403656483,10.2115736,6.852407455,0.008850572,101348.375,101348.375,211.8182678,257.6528015,0.035712,293.1325073,291.1382141,114.5186386,11963.05957,63.83941269,0,0,1998,6,10
9663,20.34838676,5.338045597,0.366155088,4.67804718,-2.944480181,0.009710538,102231.7031,102231.7031,218.4549255,260.1746826,1.008e-05,290.7837219,290.4824829,188.217514,12133.03125,63.82725143,2,0,2004,8,14
5277,53.131781576139645,-8.466907357644608,1.5618080498992404,-25.276073465877566,-1.3972779588292141,0.018152338534556164,100881.31194588933,101268.4641505139,218.6148054398883,266.2149528247576,-0.37215493344665285,302.64490878131033,301.3500832279174,66.64500082202441,12401.666742173962,65.58847311564115,1,5,2007,7,22
8546,31.82429695,7.063153744,6.407038212,-5.344061375,8.757029533,0.01200642,101643.8359,101643.8359,216.9743195,264.3946228,2.0700000000000002e-05,298.929718,296.6048889,142.1843262,12311.875,65.15133667,2,1,2002,10,30
2221,28.69635201,1.936872005,5.215211868,-0.666570961,-1.926677704,0.014943539,101571.0938,101571.0938,216.7561798,265.7075195,0.019476,298.3249207,297.644104,136.9283905,12345.83105,65.61032104,0,1,2002,8,30
4617,58.5477338822269,1.8619098745289735,-7.093033763703205,-20.865131802217775,9.976767035544093,0.022161516142390758,100521.16400468012,100784.265809982,220.20234401991883,266.837413506073,-0.11547428010824701,303.03651503299983,299.7631803749932,78.66975063193756,12420.763836575727,66.58819632737527,1,4,2000,6,1
3465,23.78632736,0.212332606,2.978981972,-0.003733633,2.362988949,0.012239891,101588.1563,101588.1563,217.8071442,264.326355,0.0,297.7258301,296.0476074,137.3907776,12288.81836,65.13304138,0,1,2000,9,23
1408,20.42433357,0.504237354,-2.189223051,-1.07047236,-4.287548542,0.011776999,101053.8047,101053.8047,219.3421326,269.0844727,8.279999999999999e-09,297.9611511,294.8982849,91.02609253,12387.61035,64.82172394,0,5,2004,10,3
468,36.45011139,1.418344736,-0.4596228,2.841384172,-2.195597649,0.013971907,100961.2813,100961.2813,219.2569733,267.0335999,2.2967999999999998e-10,295.4891663,294.7688904,83.21221161,12394.49414,64.93688965,0,5,1996,6,9
1175,42.2893486,5.136373043,2.46360898,5.722917557,-1.023560047,0.014063012,101722.1563,101722.1563,217.4366302,266.9017944,0.034272,296.6986694,296.1221924,149.0391846,12387.59961,65.22340393,0,0,2001,2,2
5224,19.05615730209379,0.4404376600408928,-15.430745205056152,3.083876537652694,-8.263586188956245,0.014102268385958072,101365.27057479219,101503.3358886978,217.14315312165343,265.3003452561626,-0.3704805834977598,297.1847571743263,295.8231241378159,113.9808554333832,12403.440111363167,65.98574238283882,1,4,1996,7,11
8128,22.741745,-6.501440525,1.801263213,-10.18342781,4.831412315,0.01083806,102001.2734,102001.2734,219.6024017,264.9459534,0.13788,297.5239563,294.9505005,171.4895172,12351.49609,64.72815704,2,1,2009,9,6
424,37.92377853,4.24182272,-7.217758179,-7.20985651,-7.989104271,0.010536667,101911.3438,101911.3438,213.9432983,264.5056763,4.248e-11,292.7986145,290.4212952,161.4334412,12288.99707,63.7518425,0,5,2002,2,18
7047,39.60271318116388,-5.561859809471395,-10.977364295056638,7.464650194728597,-1.3141174346307904,0.020046284031762354,101161.02158120446,101102.16329333076,219.29895171104735,265.2317831597741,-0.08358053650581232,302.3475946792759,301.7994386251669,99.41306266779935,12404.505107661775,66.50651337981773,1,4,2000,7,22
2483,26.94140625,-2.284576178,-5.396584988,-0.077319242,-5.144620419,0.013372157,101442.6406,101442.6406,216.8666534,265.5007019,2.3075999999999998e-07,297.7836304,296.6074829,125.2283325,12311.21777,65.28740692,0,1,2006,8,5
1825,46.86830902,1.237573981,-3.915627718,-0.24073185,-3.779348373,0.01599976,101540.9688,101540.9688,216.0632477,264.1019897,0.05004,299.2164001,299.11026,135.0800323,12334.02246,65.97465515,0,1,2002,11,22
